"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","check_gradient","cls","data","dataset","desc","dropout_disactive","epochs","expid","hidden_dim","learning_rate","log_file","lr_decay_every","lr_decay_rate","max_grad_norm","num_heads","num_of_vertices","patience","print_every","save","seed","shuffle","strides","weight_decay_rate","window_length","epoch","train_accuracy","train_loss","val_accuracy (Max)","val_loss"
"desc: 10_20131204","crashed","-","","","2024-11-02T04:53:00.000Z","169832","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/10_20131204/","SEED","10_20131204","0.2","500","[""2-1104"",""2-1102""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","[""/data/Anaiis/garage/len50_seed/"",""/data/Anaiis/garage/windowlen_seed/""]","22","true","3","0.0001","50","[null,12,64]","[null,0.3310268474951564,0.9903127594796568]","[null,1.0154942274093628,0.13432155549526217]","0.9988938053097344","[null,0.5694730281829834,0.002740191062912345]"
"desc: 14_20140615","failed","-","","","2024-11-02T19:15:19.000Z","27158","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/14_20140615/","SEED","14_20140615","0.2","500","17-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","49","0.9930805424854692","0.0413329130387865","1","0.003496891411487013"
"desc: 14_20140627","failed","-","","","2024-11-02T20:11:21.000Z","23795","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/14_20140627/","SEED","14_20140627","0.2","500","18-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","47","0.9771657902020481","0.20800453796982765","0.9811946902654868","0.5015463608433492"
"desc: 2_20140404","failed","-","","","2024-11-03T01:21:58.000Z","20581","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/2_20140404/","SEED","2_20140404","0.2","500","22-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","33","0.9281760309991696","0.2989712208509445","0.9922566371681416","0.7462993459193967"
"desc: 2_20140413","crashed","-","","","2024-11-03T02:48:20.000Z","15692","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/2_20140413/","SEED","2_20140413","0.2","500","23-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","[null,29]","[null,0.9842236368668696]","[null,0.004479507450014353]","0.9889380530973452","[null,0.003679810557514429]"
"desc: 2_20140419","failed","-","","","2024-11-03T03:35:31.000Z","15182","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/2_20140419/","SEED","2_20140419","0.2","500","24-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","31","0.9845004151674508","0.06714020483195782","1","0.08595826430246234"
"desc: 3_20140603","crashed","-","","","2024-11-03T04:29:51.000Z","12061","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/3_20140603/","SEED","3_20140603","0.2","500","25-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","[null,81]","[null,0.8153888735123166]","[null,0.03386056423187256]","0.9922566371681416","[null,1.2229355573654177]"
"desc: 3_20140611","failed","-","","","2024-11-03T07:04:56.000Z","5670","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/3_20140611/","SEED","3_20140611","0.2","500","26-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","41.5","0.9936340990866317","0.0017264228372368962","1","0.0108296301914379"
"desc: 3_20140629","failed","-","","","2024-11-03T08:02:18.000Z","8721","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/3_20140629/","SEED","3_20140629","0.2","500","27-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","47","0.9707998892886798","0.029494536778656766","1","0.003925383905880153"
"desc: 5_20140411","failed","-","","","2024-11-03T08:39:39.000Z","7610","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/5_20140411/","SEED","5_20140411","0.2","500","28-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","51.5","0.7270965956269029","1.0246294175449293","1","1.7647491180396173"
"desc: 5_20140418","failed","-","","","2024-11-03T10:07:16.000Z","6212","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/5_20140418/","SEED","5_20140418","0.2","500","29-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","29","1","0.0023696637363173068","1","0.0026271866518072784"
"desc: 5_20140506","failed","-","","","2024-11-03T10:46:47.000Z","4289","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/5_20140506/","SEED","5_20140506","0.2","500","30-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","32.5","0.9905895377802381","0.0168230552226305","1","0.07806994346901774"
"desc: 8_20140511","crashed","-","","","2024-11-03T16:42:47.000Z","12850","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/8_20140511/","SEED","8_20140511","0.2","500","37-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","88","1","0.0003374343505129218","1","0.00018570528482086957"
"desc: 8_20140514","failed","-","","","2024-11-03T16:42:47.000Z","15113","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/8_20140514/","SEED","8_20140514","0.2","500","38-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","38","0.9577913091613618","0.007078898139297962","1","0.17769354581832886"
"desc: 8_20140521","failed","-","","","2024-11-03T17:49:39.000Z","15882","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/8_20140521/","SEED","8_20140521","0.2","500","39-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","60","0.9979241627456408","0.0017209765210282058","1","0.005190546522499061"
